stage,rank,logistic_weight,random_forest_weight,gradient_boosting_weight,log_loss,top1,ece,selected,search_skipped,skip_reason
coarse,215,0.7000000000000001,0.30000000000000004,0.0,0.0947376591482685,0.992,0.07048274509600139,False,False,
coarse,216,0.8,0.05,0.15000000000000002,0.09536003706354655,0.991875,0.07081509949280787,False,False,
coarse,217,0.75,0.2,0.05,0.09568508346076773,0.99175,0.07131592376174833,False,False,
coarse,218,0.8,0.1,0.1,0.09688144941623608,0.992,0.07233815532849842,False,False,
coarse,219,0.75,0.25,0.0,0.09743909436271572,0.991375,0.07221313306032898,False,False,
coarse,220,0.8500000000000001,0.0,0.15000000000000002,0.0983954592882357,0.9915,0.0724200248316764,False,False,
coarse,221,0.8,0.15000000000000002,0.05,0.09851137558647342,0.991625,0.07327010367518318,False,False,
coarse,222,0.8500000000000001,0.05,0.1,0.09985438957771064,0.991375,0.07368651739715375,False,False,
coarse,223,0.8,0.2,0.0,0.10024642401048899,0.990875,0.07386671311355153,False,False,
coarse,224,0.8500000000000001,0.1,0.05,0.10145308400215143,0.991125,0.0747413665378561,False,False,
coarse,225,0.9,0.0,0.1,0.10298868480707887,0.9905,0.07475706771421778,False,False,
coarse,226,0.8500000000000001,0.15000000000000002,0.0,0.10316849809138245,0.990375,0.07526366837251745,False,False,
coarse,227,0.9,0.05,0.05,0.1045292708903014,0.99025,0.07580596748559018,False,False,
coarse,228,0.9,0.1,0.0,0.1062203817267286,0.989625,0.07644974180816336,False,False,
coarse,229,0.9500000000000001,0.0,0.05,0.10778689252830286,0.989375,0.07683891970121763,False,False,
coarse,230,0.9500000000000001,0.05,0.0,0.10943161510478568,0.98925,0.07805442962421026,False,False,
coarse,231,1.0,0.0,0.0,0.1128830429669759,0.988375,0.07905534137478841,False,False,
fine,1,0.01,0.2,0.79,0.04719817160313072,0.984875,0.009254135242440842,True,False,
fine,2,0.01,0.19,0.8,0.04720493308104668,0.984875,0.008990862989439309,False,False,
fine,3,0.01,0.21,0.78,0.04720503227618244,0.985,0.009442669807470853,False,False,
fine,4,0.0,0.22,0.78,0.04720635991023671,0.984875,0.009187615757680111,False,False,
fine,5,0.0,0.21,0.79,0.04720959359940865,0.984875,0.008623527890625225,False,False,
fine,6,0.0,0.23,0.77,0.04721651493122102,0.985125,0.008956563618731175,False,False,
fine,7,0.01,0.22,0.77,0.047224650992319754,0.985125,0.009634122007579448,False,False,
fine,8,0.01,0.18,0.81,0.04722629711887071,0.984875,0.008625347313693747,False,False,
fine,9,0.0,0.2,0.8,0.0472271453558583,0.98475,0.008535926744920382,False,False,
fine,10,0.0,0.24,0.76,0.04723923643705271,0.985375,0.009692991372367891,False,False,
fine,11,0.01,0.23,0.76,0.047256262126638186,0.985375,0.010097204206352087,False,False,
fine,12,0.0,0.19,0.81,0.04726007130271981,0.98475,0.008148529192404684,False,False,
fine,13,0.01,0.17,0.8200000000000001,0.04726338259208399,0.984875,0.008533789589127656,False,False,
fine,14,0.0,0.25,0.75,0.04727379342952695,0.98575,0.010548708376336449,False,False,
fine,15,0.01,0.24,0.75,0.04729918407248553,0.98575,0.010902021949426195,False,False,
fine,16,0.0,0.18,0.8200000000000001,0.04730957881044855,0.984875,0.007958373846327063,False,False,
fine,17,0.01,0.16,0.8300000000000001,0.047317474716207224,0.984875,0.00816827440516867,False,False,
fine,18,0.0,0.26,0.74,0.04731953313614494,0.985875,0.01080115282275481,False,False,
fine,19,0.02,0.19,0.79,0.04733255151851309,0.985,0.009857557883832059,False,False,
fine,20,0.02,0.18,0.8,0.04733467606561318,0.984875,0.009842960451249022,False,False,
fine,21,0.02,0.2,0.78,0.04734379232654538,0.985125,0.01004724805403906,False,False,
fine,22,0.02,0.17,0.81,0.04735112517718339,0.984875,0.009200835955682116,False,False,
fine,23,0.01,0.25,0.74,0.04735280739334907,0.985875,0.011153909110703346,False,False,
fine,24,0.02,0.21,0.77,0.04736755321199524,0.985125,0.010210754029811041,False,False,
fine,25,0.0,0.27,0.73,0.047375870293168906,0.986125,0.011279079808073427,False,False,
fine,26,0.0,0.17,0.8300000000000001,0.047377057359228814,0.984875,0.007818234348706073,False,False,
fine,27,0.02,0.16,0.8200000000000001,0.04738299378762777,0.984875,0.008767151388924067,False,False,
fine,28,0.01,0.15,0.84,0.047390060520399895,0.98475,0.007521994488128231,False,False,
fine,29,0.02,0.22,0.76,0.0474030853277926,0.985375,0.010552306397287808,False,False,
fine,30,0.01,0.26,0.73,0.047416585038131724,0.986125,0.011606663434325554,False,False,
